Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
272210,KR7272210006,한화시스템,KOSPI,,21750,1,500,2.35,21200,21950,20700,2124946,45688813550,4108996710750,188919389,STK
011070,KR7011070000,LG이노텍,KOSPI,,171200,1,4000,2.39,167600,172000,167600,171712,29314283500,4051808718400,23667107,STK
097950,KR7097950000,CJ제일제당,KOSPI,,269000,1,1000,0.37,267000,275000,265000,31634,8496608500,4049576034000,15054186,STK
000150,KR7000150003,두산,KOSPI,,244500,1,1500,0.62,246500,253500,240500,187047,46267748500,4040077657500,16523835,STK
141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,110300,1,1300,1.19,109100,112800,107200,500772,55065920300,4038120281400,36610338,KSQ
298040,KR7298040007,효성중공업,KOSPI,,430000,2,-7000,-1.6,440000,454500,429000,117849,51868806500,4009555640000,9324548,STK
011790,KR7011790003,SKC,KOSPI,,100300,2,-4800,-4.57,103400,105600,99600,326946,33115350200,3798190289400,37868298,STK
078930,KR7078930005,GS,KOSPI,,40550,1,150,0.37,40400,40650,40350,144592,5856276150,3767718577900,92915378,STK
066970,KR7066970005,엘앤에프,KOSPI,,103700,2,-6000,-5.47,106500,106500,102400,221626,23043204000,3763930250600,36296338,STK
005385,KR7005381009,현대차우,KOSPI,,156900,1,1200,0.77,155800,157600,154500,63128,9864168300,3745514917200,23871988,STK
462870,KR7462870007,시프트업,KOSPI,,63100,1,6800,12.08,56900,63100,56100,432078,26349071300,3680920832000,58334720,STK
035250,KR7035250000,강원랜드,KOSPI,,17120,2,-30,-0.17,17270,17330,16890,617206,10540335360,3662661360000,213940500,STK
307950,KR7307950006,현대오토에버,KOSPI,,132600,2,-1600,-1.19,134000,134000,130600,53199,7020507000,3636420013200,27423982,STK
138930,KR7138930003,BNK금융지주,KOSPI,,11040,2,-90,-0.81,11200,11230,10910,1418516,15631514480,3537621466080,320436727,STK
175330,KR7175330000,JB금융지주,KOSPI,,17970,2,-80,-0.44,17900,18140,17730,668190,11950297990,3505645068060,195083198,STK
028050,KR7028050003,삼성E&A,KOSPI,,17660,1,260,1.49,17350,17840,17310,494361,8743270260,3461360000000,196000000,STK
145020,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,274000,2,-4500,-1.62,278000,283500,272500,89026,24644582500,3453505042000,12604033,KSQ
128940,KR7128940004,한미약품,KOSPI,,269500,1,4000,1.51,265500,273000,263000,41459,11148769500,3452562074500,12810991,STK
454910,KR7454910001,두산로보틱스,KOSPI,,52300,3,0,0.0,52200,52700,51600,410799,21441302400,3390084954000,64819980,STK
022100,KR7022100002,포스코DX,KOSPI,,21900,2,-500,-2.23,22050,22100,21700,309275,6773620450,3329560565100,152034729,STK
039490,KR7039490008,키움증권,KOSPI,,122800,1,2300,1.91,120000,123600,119400,52353,6383207700,3134679496800,25526706,STK
214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,47600,1,1450,3.14,46500,47950,45750,298968,14110726306,3118069368400,65505659,KSQ
